objectid,number,name,address,latitude,longitude,status,bike_stands,available_bike_stands,available_bikes,bonus,banking,last_update,CreationDate,Creator,EditDate,Editor,x,y
122,43003,43003 - PARIS 2 (VINCENNES),104 AVENUE DE PARIS - 94300 VINCENNES,48.8457199,2.4274063,OPEN,26,14,12,0,1,5/16/2013 6:57:42 PM,5/15/2013 7:37:16 PM,VotreNom,5/16/2013 6:58:39 PM,VotreNom,2.42740630276139,48.8457199009261
123,9003,09003 - PLACE BARBÈS,PLACE BARBES - 75009 PARIS,48.8836532,2.34904086,OPEN,25,21,4,0,1,5/16/2013 7:00:22 PM,5/15/2013 7:37:16 PM,VotreNom,5/16/2013 7:00:40 PM,VotreNom,2.34904085503438,48.8836531972476
124,14009,14009 - COTY TOMBE D'ISSOIRE,49 RUE DE LA TOMBE D'ISSOIRE - 75014 PARIS,48.830556,2.3337833,OPEN,36,31,4,0,1,5/16/2013 6:57:56 PM,5/15/2013 7:37:16 PM,VotreNom,5/16/2013 6:58:39 PM,VotreNom,2.33378329803366,48.83055599941
125,15071,15071 - CHAMP DE MARS COTE 16EME,36 RUE DE SUFFREN - 75015 PARIS,48.85485175,2.29500791,OPEN,22,17,5,0,1,5/16/2013 7:03:56 PM,5/15/2013 7:37:16 PM,VotreNom,5/16/2013 7:04:39 PM,VotreNom,2.29500791364336,48.8548517488353
126,14035,14035 - MAINE GAITE,90 AVENUE DU MAINE - 75014 PARIS,48.83788363,2.32255164,OPEN,48,48,0,1,1,5/16/2013 6:55:58 PM,5/15/2013 7:37:16 PM,VotreNom,5/16/2013 6:56:39 PM,VotreNom,2.32255164001818,48.8378836277624
127,10114,10114 - HOPITAL SAINT LOUIS,12 BIS RUE DE LA GRANGE AUX BELLES - 75010 PARIS,48.87479499,2.36666944,OPEN,59,11,48,0,1,5/16/2013 7:00:25 PM,5/15/2013 7:37:16 PM,VotreNom,5/16/2013 7:01:40 PM,VotreNom,2.366669436985,48.8747949948413
128,16041,16041 - VERSAILLES,164 AVENUE DE VERSAILLES - 75016 PARIS,48.84021934,2.26383419,OPEN,43,12,31,0,1,5/16/2013 7:04:58 PM,5/15/2013 7:37:16 PM,VotreNom,5/16/2013 7:05:41 PM,VotreNom,2.26383419115301,48.8402193380742
129,10040,10040 - BELLEVILLE,8 BOULEVARD DE LA VILETTE - 75010 PARIS,48.87277816,2.37634839,OPEN,48,31,17,0,1,5/16/2013 7:01:15 PM,5/15/2013 7:37:16 PM,VotreNom,5/16/2013 7:01:40 PM,VotreNom,2.37634839464603,48.87277815649
130,23011,23011 - BINEAU (LEVALLOIS),16 BOULEVARD BINEAU - 92300 LEVALLOIS-PERRET,48.88668137,2.28402369,OPEN,25,18,6,0,1,5/16/2013 6:55:50 PM,5/15/2013 7:37:16 PM,VotreNom,5/16/2013 6:56:39 PM,VotreNom,2.28402369121819,48.886681372499
131,1006,01006 - GRANDE TRUANDERIE,2-4 rue DE LA GRANDE TRUANDERIE 75001 PARIS,48.8626318,2.34973214,OPEN,33,0,32,0,1,5/16/2013 7:01:51 PM,5/15/2013 7:37:16 PM,VotreNom,5/16/2013 7:02:40 PM,VotreNom,2.34973214483105,48.8626318041595
132,2011,02011 - BIBLIOTHEQUE NATIONALE,71 RUE DE RICHELIEU - 75002 PARIS,48.86829989,2.33808978,OPEN,26,17,6,0,1,5/16/2013 7:02:08 PM,5/15/2013 7:37:16 PM,VotreNom,5/16/2013 7:02:40 PM,VotreNom,2.33808978227852,48.8682998892007
133,31005,31005 - PARIS 2  (MONTREUIL),127/129 RUE DE PARIS - 93100 MONTREUIL,48.85628452,2.42643449,OPEN,44,41,3,0,1,5/16/2013 7:03:54 PM,5/15/2013 7:37:16 PM,VotreNom,5/16/2013 7:04:39 PM,VotreNom,2.42643449060982,48.8562845161865
134,16007,16007 - LONGCHAMP,4 RUE DE LONGCHAMP - 75016 PARIS,48.86491045,2.2925191,OPEN,39,35,4,0,1,5/16/2013 7:05:19 PM,5/15/2013 7:37:16 PM,VotreNom,5/16/2013 7:05:41 PM,VotreNom,2.29251910100419,48.864910448589
135,15069,15069 - BOUCICAUT FAURE,41 AVENUE FELIX FAURE - 75015 PARIS,48.84124934,2.2883866,OPEN,46,0,45,0,1,5/16/2013 6:58:05 PM,5/15/2013 7:37:16 PM,VotreNom,5/16/2013 6:58:39 PM,VotreNom,2.28838660084949,48.841249336041
136,21702,21702 - BASCH (VANVES),6 AVENUE VICTOR BASCH - 92170 VANVES,48.81893986,2.29195987,OPEN,51,42,8,1,1,5/16/2013 6:58:22 PM,5/15/2013 7:37:16 PM,VotreNom,5/16/2013 6:58:39 PM,VotreNom,2.29195987246792,48.8189398642899
137,13514,13514 - GARE D'AUSTERLITZ 2,9 BOULEVARD DE L'HOPITAL - 75013 PARIS,48.84183617,2.36346864,OPEN,19,1,18,0,1,5/16/2013 7:01:34 PM,5/15/2013 7:37:16 PM,VotreNom,5/16/2013 7:02:40 PM,VotreNom,2.36346863686009,48.8418361736006
